STATEFP,FER,EA0,EA1,EA2,EA3,EA4,EA5,EA6,EA7,EA8,EA9,EA10,EA11,EA12,EA13,EA14,EA15,EA16,EA17,EA18,EA19,EA20,EA21,EA22,EA23,EA24
47,0,239922,213188,90295,84235,78637,86117,91659,89735,94392,110396,105756,148887,111132,129525,137333,71972,1097132,221375,256447,557424,250021,585645,225505,60235,44125
48,0,1166704,1134419,458198,432650,416515,463415,515146,487924,523861,751668,498809,555946,575348,482788,508809,296224,3365153,655997,970330,2386824,980301,2561925,982121,228010,163664
49,0,146655,107669,62836,54954,51706,53505,55897,58578,55329,60955,52183,51870,40198,41062,48168,29254,336307,42752,124293,297537,132227,289679,117408,27394,22928
50,0,17055,13078,9379,5436,6185,6059,6857,6909,7112,7569,7132,10609,7667,8755,10053,4250,106975,13030,21010,50734,31046,77585,36141,8610,7076
51,0,300808,244917,129353,108244,101646,109737,114824,112958,118222,136682,129586,145108,117740,134874,143378,77520,1092542,195130,319290,665870,336132,946808,507188,110364,86225
53,0,261163,242392,110363,98993,93180,100822,102552,97743,103600,118299,100653,105763,90618,93543,110073,77866,867988,165182,332068,694561,397389,863146,361045,85909,63029
54,0,56546,50811,20221,20497,20476,21797,21825,22470,24156,25385,30247,37978,35714,41448,37161,13283,391514,71784,68990,138171,67332,119602,57283,13541,8932
55,0,192404,156530,80462,84851,68072,72754,76029,75682,79574,85223,74130,96723,66311,78762,96270,58744,1014093,113326,239182,498535,327400,582641,202280,53256,35506
56,0,20025,17158,8240,8251,8247,8111,8163,7056,8122,9166,7979,9023,6512,7553,9664,5051,84843,18668,27809,60389,32419,51161,21583,5029,3218
01,2,0,9589,250,79,125,465,650,404,1139,2963,3526,14054,36557,47639,50755,17856,222192,33224,69685,200107,101792,175985,71953,11860,7240
02,2,0,524,0,0,6,37,0,265,25,150,105,2133,4874,5488,6205,1878,32203,6957,11876,30829,12898,28708,10994,2489,1263
04,2,0,14567,156,345,527,631,1107,1188,1344,11846,3815,26326,61643,60911,76190,35205,283015,45778,108568,287940,127239,272171,97832,18110,13708
05,2,0,4498,230,38,0,191,1048,456,982,2966,2669,9289,24194,27203,29249,8864,143106,24763,40940,121548,57918,102921,39920,5577,3640
06,2,0,118364,2140,2850,4690,11038,22505,14666,25424,155668,30051,113908,325108,313904,386740,197906,1582022,146584,513376,1629728,664157,1912148,705954,165568,95349
08,2,0,10336,110,309,323,188,677,408,1395,8138,2922,15169,41072,44260,52024,18355,197713,36322,73723,201128,101665,337445,128870,21646,15335
09,2,0,4896,195,75,262,266,432,359,567,3348,1494,7792,23190,28240,30908,8097,138810,16503,44763,119919,55377,180535,92348,16962,9329
10,2,0,1451,0,19,23,71,138,127,409,1543,520,3256,6801,6990,8430,3070,44980,4727,12977,32369,15358,39174,19520,2651,2656
11,2,0,1810,41,7,0,23,512,157,354,298,27,1318,2830,3637,5224,1057,26186,2296,9478,23820,4807,57206,43037,15590,5040
12,2,0,42195,1833,796,1647,2498,5175,4037,6331,22173,13342,56907,135242,160356,181350,83594,883283,134910,272835,670406,508896,869093,301074,70941,33025
13,2,0,20351,557,324,830,1286,2755,1451,3109,15184,7926,37398,86558,100911,112886,36876,447518,74666,137392,434712,201697,471147,205501,43660,25895
15,2,0,1379,57,82,59,41,56,157,262,1012,248,2705,6916,9019,9572,3437,62811,6772,18197,48529,29848,65598,22114,3951,3236
16,2,0,2717,57,81,80,196,61,320,191,2204,1071,6064,14227,13872,17382,4977,69484,14539,29476,71155,36321,68261,17911,2902,2528
17,2,0,21160,746,501,517,1097,1753,2114,3109,20804,5603,40451,88656,100385,120786,42083,476655,67901,170399,455781,232998,642381,280464,52999,28441
18,2,0,10867,80,244,90,516,989,1061,1248,5360,2717,32324,51680,60120,68080,21791,291201,52975,96988,247570,136928,275744,87672,15784,10206
19,2,0,4462,190,224,239,216,340,490,749,2930,1026,9307,20839,24544,27251,6498,105497,14149,47513,112453,86316,143095,42756,7907,5625
20,2,0,4734,39,27,208,84,600,493,586,3660,1206,9054,21643,25410,26530,7391,98078,15854,44766,106419,58228,130626,50670,7477,5171
21,2,0,6244,66,226,164,151,379,120,613,1852,2197,17495,33428,39955,43456,11668,193864,35662,67118,174318,95087,155158,70210,13291,7648
22,2,0,7269,484,96,314,268,456,480,861,3285,4638,17036,33847,47609,51802,15479,224642,41684,59879,200438,74207,170091,64617,12706,6949
23,2,0,1076,0,25,28,43,172,32,77,120,261,3192,6728,9429,9444,2222,53181,8701,15872,45743,25951,62032,21014,4031,3201
24,2,0,11087,466,287,323,1305,1666,1471,2555,6518,3343,16006,40597,44509,49262,18087,229460,27779,80440,206927,91730,300124,173423,30906,24761
25,2,0,11668,223,199,266,518,1219,1539,2228,3710,3243,18729,42195,50631,56459,18054,239284,30400,83313,237146,100269,405756,212366,38129,32482
26,2,0,14380,421,283,758,631,798,449,1322,4351,4580,25908,63016,81935,97522,31635,393228,51679,147871,400060,205835,402760,167096,26715,18141
27,2,0,9702,248,172,420,454,472,318,1037,3806,1709,13961,36556,39455,51094,15820,164031,22548,69855,186589,144235,304289,103184,19391,13660
28,2,0,4257,126,39,205,160,30,251,447,2548,2265,11715,24510,29936,34829,9372,119891,28622,40946,129511,81211,92940,41437,7166,4759
29,2,0,6520,204,60,39,120,477,294,702,2800,2225,22191,43672,52302,55202,15063,239537,39064,89544,237552,117839,256975,108377,17827,11775
30,2,0,629,26,17,0,0,0,77,40,172,394,2970,6110,8248,8443,2467,38571,8633,12944,40062,20036,47425,13946,3598,1994
31,2,0,4752,87,354,221,197,549,311,747,2168,774,4772,13498,15295,16528,5414,60643,8911,29394,72910,38239,92815,31358,5721,4017
