REGION,STATE,COUNTY,PRETBRPCT
6,Arkansas,Searcy County,10.5
6,Arkansas,Sebastian County,10.7
6,Arkansas,Sevier County,8.9
6,Arkansas,Sharp County,12.9
6,Arkansas,Stone County,11.4
6,Arkansas,Union County,11.6
6,Arkansas,Van Buren County,11.4
6,Arkansas,Washington County,10.6
6,Arkansas,White County,10.9
6,Arkansas,Woodruff County,12.1
6,Arkansas,Yell County,13.3
9,California,Alameda County,8.7
9,California,Alpine County,8.2
9,California,Amador County,8.8
9,California,Butte County,8.4
9,California,Calaveras County,9
9,California,Colusa County,8.1
9,California,Contra Costa County,9
9,California,Del Norte County,8
9,California,El Dorado County,8.4
9,California,Fresno County,9.5
9,California,Glenn County,8.6
9,California,Humboldt County,8.2
9,California,Imperial County,8.3
9,California,Inyo County,10.1
9,California,Kern County,9.8
9,California,Kings County,9.3
9,California,Lake County,8.3
9,California,Lassen County,9.3
9,California,Los Angeles County,9.1
9,California,Madera County,8.9
9,California,Marin County,7.8
9,California,Mariposa County,8.6
9,California,Mendocino County,8.6
9,California,Merced County,8.9
9,California,Modoc County,9.2
9,California,Mono County,9.3
9,California,Monterey County,8.4
9,California,Napa County,8.2
9,California,Nevada County,8.3
9,California,Orange County,7.8
9,California,Placer County,8.4
9,California,Plumas County,8.3
9,California,Riverside County,9
9,California,Sacramento County,9
9,California,San Benito County,8.8
9,California,San Bernardino County,9.6
9,California,San Diego County,8.7
9,California,San Francisco County,8.1
9,California,San Joaquin County,9.3
9,California,San Luis Obispo County,8.3
9,California,San Mateo County,8
9,California,Santa Barbara County,9
9,California,Santa Clara County,8.5
9,California,Santa Cruz County,8.1
9,California,Shasta County,8.2
9,California,Sierra County,9.3
9,California,Siskiyou County,9.9
9,California,Solano County,8.7
9,California,Sonoma County,7.4
9,California,Stanislaus County,8.7
9,California,Sutter County,8.6
9,California,Tehama County,8.3
9,California,Trinity County,8.2
9,California,Tulare County,9.9
9,California,Tuolumne County,8.4
9,California,Ventura County,8.3
9,California,Yolo County,8.5
9,California,Yuba County,8.6
8,Colorado,Adams County,8.9
8,Colorado,Alamosa County,11.4
8,Colorado,Arapahoe County,9.4
8,Colorado,Archuleta County,8.7
8,Colorado,Baca County,10.1
8,Colorado,Bent County,10.4
8,Colorado,Boulder County,7.4
8,Colorado,Broomfield County,8.1
8,Colorado,Chaffee County,10.4
8,Colorado,Cheyenne County,10.4
8,Colorado,Clear Creek County,8.4
8,Colorado,Conejos County,10.9
8,Colorado,Costilla County,13
8,Colorado,Crowley County,10.3
8,Colorado,Custer County,11.9
8,Colorado,Delta County,8.8
8,Colorado,Denver County,8.9
8,Colorado,Dolores County,10.3
8,Colorado,Douglas County,9.2
8,Colorado,Eagle County,9.6
8,Colorado,Elbert County,9.6
8,Colorado,El Paso County,10.1
8,Colorado,Fremont County,10.7
8,Colorado,Garfield County,9.5
8,Colorado,Gilpin County,7.8
8,Colorado,Grand County,8.5
8,Colorado,Gunnison County,8.8
8,Colorado,Hinsdale County,7.7
8,Colorado,Huerfano County,9.9
8,Colorado,Jackson County,9.1
8,Colorado,Jefferson County,8.1
8,Colorado,Kiowa County,10.7
8,Colorado,Kit Carson County,9.1
8,Colorado,Lake County,10
8,Colorado,La Plata County,7.2
8,Colorado,Larimer County,9.1
8,Colorado,Las Animas County,9.9
8,Colorado,Lincoln County,9.9
8,Colorado,Logan County,8.9
8,Colorado,Mesa County,9.1
8,Colorado,Mineral County,11.7
8,Colorado,Moffat County,10
8,Colorado,Montezuma County,8.6
8,Colorado,Montrose County,8.9
8,Colorado,Morgan County,9
8,Colorado,Otero County,11.1
8,Colorado,Ouray County,8
8,Colorado,Park County,9.1
8,Colorado,Phillips County,9.1
8,Colorado,Pitkin County,9.3
8,Colorado,Prowers County,10.9
8,Colorado,Pueblo County,10.9
8,Colorado,Rio Blanco County,9.6
8,Colorado,Rio Grande County,11.9
8,Colorado,Routt County,9.3
8,Colorado,Saguache County,12.3
8,Colorado,San Juan County,7.6
8,Colorado,San Miguel County,9.6
8,Colorado,Sedgwick County,9.7
8,Colorado,Summit County,9.8
8,Colorado,Teller County,9.6
8,Colorado,Washington County,9.2
8,Colorado,Weld County,8.8
8,Colorado,Yuma County,9.4
1,Connecticut,Fairfield County,9.1
1,Connecticut,Hartford County,10.1
1,Connecticut,Litchfield County,9.1
1,Connecticut,Middlesex County,8.7
1,Connecticut,New Haven County,9.4
1,Connecticut,New London County,8.6
1,Connecticut,Tolland County,9.3
1,Connecticut,Windham County,10.3
3,Delaware,Kent County,10.3
3,Delaware,New Castle County,10
3,Delaware,Sussex County,10.6
3,District of Columbia,District of Columbia,10.3
4,Florida,Alachua County,12
4,Florida,Baker County,11.6
4,Florida,Bay County,10.4
4,Florida,Bradford County,12.2
4,Florida,Brevard County,9.8
4,Florida,Broward County,10.8
4,Florida,Calhoun County,10.7
4,Florida,Charlotte County,10.1
4,Florida,Citrus County,10.3
4,Florida,Clay County,10.7
4,Florida,Collier County,10.3
4,Florida,Columbia County,11.9
4,Florida,DeSoto County,9.7
4,Florida,Dixie County,13.6
4,Florida,Duval County,11.5
4,Florida,Escambia County,13.5
4,Florida,Flagler County,9.1
4,Florida,Franklin County,9.6
4,Florida,Gadsden County,11.5
4,Florida,Gilchrist County,11.6
4,Florida,Glades County,10.1
4,Florida,Gulf County,10.2
4,Florida,Hamilton County,12.1
4,Florida,Hardee County,10.3
4,Florida,Hendry County,10.7
4,Florida,Hernando County,10.6
4,Florida,Highlands County,10.6
4,Florida,Hillsborough County,10
4,Florida,Holmes County,10.6
4,Florida,Indian River County,10.1
4,Florida,Jackson County,11
4,Florida,Jefferson County,11.6
4,Florida,Lafayette County,12.4
4,Florida,Lake County,10.3
4,Florida,Lee County,10.3
4,Florida,Leon County,11.4
4,Florida,Levy County,11.7
4,Florida,Liberty County,11.1
4,Florida,Madison County,12.2
4,Florida,Manatee County,9.9
4,Florida,Marion County,10.3
4,Florida,Martin County,9.1
4,Florida,Miami-Dade County,9.8
4,Florida,Monroe County,9.8
