COUNTY,STABRV,FIPS,BIRTHS,TOTPOP,BIRTHRATE,RPRAFEM,FERTRATE
Beaver County,PA,42007,1503,166624,9.02,28078,53.53
Berks County,PA,42011,4594,429342,10.7,80510,57.06
Blair County,PA,42013,1137,121767,9.34,21054,54
Bucks County,PA,42017,5808,646098,8.99,111393,52.14
Butler County,PA,42019,1671,194273,8.6,33728,49.54
Cambria County,PA,42021,1139,132167,8.62,21662,52.58
Centre County,PA,42027,1125,157527,7.14,35340,31.83
Chester County,PA,42029,5675,538649,10.54,99817,56.85
Cumberland County,PA,42041,2681,262919,10.2,49410,54.26
Dauphin County,PA,42043,3338,287400,11.61,55093,60.59
Delaware County,PA,42045,6423,573849,11.19,113602,56.54
Erie County,PA,42049,2761,269011,10.26,50242,54.95
Fayette County,PA,42051,1178,126931,9.28,20440,57.63
Franklin County,PA,42055,1713,156289,10.96,27553,62.17
Lackawanna County,PA,42069,2116,215663,9.81,39231,53.94
Lancaster County,PA,42071,7048,553652,12.73,103881,67.85
Lebanon County,PA,42075,1586,143493,11.05,25609,61.93
Lehigh County,PA,42077,3985,375539,10.61,72858,54.7
Luzerne County,PA,42079,3200,326053,9.81,57381,55.77
Lycoming County,PA,42081,1126,113605,9.91,20848,54.01
Mercer County,PA,42085,1043,109972,9.48,18388,56.72
Monroe County,PA,42089,1368,169273,8.08,30440,44.94
Montgomery County,PA,42091,8751,860578,10.17,160254,54.61
Northampton County,PA,42095,2804,313628,8.94,57448,48.81
Philadelphia County,PA,42101,19299,1576251,12.24,364237,52.98
Schuylkill County,PA,42107,1201,143264,8.38,22617,53.1
Washington County,PA,42125,1955,209470,9.33,35765,54.66
Westmoreland County,PA,42129,2859,353057,8.1,56481,50.62
York County,PA,42133,4867,458696,10.61,83279,58.44
Unidentified Counties,PA,42999,15307,1636799,9.35,268008,57.11
Kent County,RI,44003,1522,170715,8.92,30857,49.32
Providence County,RI,44007,7035,658221,10.69,137232,51.26
Washington County,RI,44009,880,130592,6.74,24513,35.9
Unidentified Counties,RI,44999,1027,136082,7.55,23909,42.95
Aiken County,SC,45003,1933,170776,11.32,31440,61.48
Anderson County,SC,45007,2297,206908,11.1,38869,59.1
Beaufort County,SC,45013,1877,191748,9.79,29775,63.04
Berkeley County,SC,45015,2874,236701,12.14,47256,60.82
Charleston County,SC,45019,5034,413024,12.19,86998,57.86
Dorchester County,SC,45035,1947,163327,11.92,32807,59.35
Florence County,SC,45041,1613,136504,11.82,26973,59.8
Greenville County,SC,45045,6621,533834,12.4,106904,61.93
Horry County,SC,45051,3244,365579,8.87,58916,55.06
Lexington County,SC,45063,3389,300137,11.29,57823,58.61
Pickens County,SC,45077,1167,132229,8.83,27904,41.82
Richland County,SC,45079,4598,418307,10.99,96803,47.5
Spartanburg County,SC,45083,3879,335864,11.55,66329,58.48
Sumter County,SC,45085,1343,104758,12.82,20514,65.47
York County,SC,45091,3062,288595,10.61,57691,53.08
Unidentified Counties,SC,45999,12307,1192414,10.32,206773,59.52
Minnehaha County,SD,46099,2869,199685,14.37,40078,71.59
Pennington County,SD,46103,1502,111806,13.43,19628,76.52
Unidentified Counties,SD,46999,6998,583885,11.99,106060,65.98
Blount County,TN,47009,1303,137605,9.47,23883,54.56
Davidson County,TN,47037,9998,703953,14.2,170737,58.56
Hamilton County,TN,47065,4563,369135,12.36,73393,62.17
Knox County,TN,47093,5389,486677,11.07,102675,52.49
Montgomery County,TN,47125,3643,227900,15.99,52374,69.56
Rutherford County,TN,47149,4278,352182,12.15,79963,53.5
Shelby County,TN,47157,12439,924454,13.46,194320,64.01
Sullivan County,TN,47163,1489,159265,9.35,27189,54.76
Sumner County,TN,47165,2220,200557,11.07,38206,58.11
Washington County,TN,47179,1255,134236,9.35,26668,47.06
Williamson County,TN,47187,2371,255735,9.27,47900,49.5
Wilson County,TN,47189,1711,151917,11.26,28620,59.78
Unidentified Counties,TN,47999,31058,2871602,10.82,501653,61.91
Bell County,TX,48027,6111,379617,16.1,82900,73.72
Bexar County,TX,48029,25557,2028236,12.6,439939,58.09
Brazoria County,TX,48039,4672,379689,12.3,76779,60.85
Brazos County,TX,48041,2730,237032,11.52,63218,43.18
Cameron County,TX,48061,5738,423029,13.56,84611,67.82
Collin County,TX,48085,12191,1109462,10.99,232803,52.37
Comal County,TX,48091,1767,174986,10.1,31312,56.43
Dallas County,TX,48113,35546,2586050,13.75,565205,62.89
Denton County,TX,48121,10778,941647,11.45,207595,51.92
Ector County,TX,48135,2773,161091,17.21,33702,82.28
Ellis County,TX,48139,2589,202678,12.77,41118,62.97
El Paso County,TX,48141,10882,867947,12.54,180683,60.23
Fort Bend County,TX,48157,9136,858527,10.64,176357,51.8
Galveston County,TX,48167,3868,355062,10.89,70002,55.26
Grayson County,TX,48181,1769,139336,12.7,25881,68.35
Gregg County,TX,48183,1703,124201,13.71,24583,69.28
Guadalupe County,TX,48187,1845,177036,10.42,35544,51.91
Harris County,TX,48201,63152,4728030,13.36,1020697,61.87
Hays County,TX,48209,2915,255397,11.41,60522,48.16
Hidalgo County,TX,48215,13256,880356,15.06,185840,71.33
Jefferson County,TX,48245,3109,253704,12.25,47503,65.45
Johnson County,TX,48251,2359,187280,12.6,36574,64.5
Kaufman County,TX,48257,2278,157768,14.44,33804,67.39
Lubbock County,TX,48303,3999,314451,12.72,73912,54.1
McLennan County,TX,48309,3347,263115,12.72,57423,58.29
Midland County,TX,48329,2805,167969,16.7,35983,77.95
Montgomery County,TX,48339,8061,648886,12.42,128713,62.63
Nueces County,TX,48355,4320,353079,12.24,71931,60.06
Parker County,TX,48367,1802,156764,11.49,29177,61.76
Potter County,TX,48375,1560,116547,13.39,22572,69.11
Randall County,TX,48381,1710,143854,11.89,30097,56.82
Smith County,TX,48423,3012,237186,12.7,47984,62.77
Tarrant County,TX,48439,27075,2126477,12.73,459613,58.91
Taylor County,TX,48441,1860,143326,12.98,31838,58.42
Tom Green County,TX,48451,1466,119411,12.28,24643,59.49
Travis County,TX,48453,15594,1305154,11.95,307548,50.7
Webb County,TX,48479,4225,267945,15.77,56128,75.27
Wichita County,TX,48485,1576,130069,12.12,25238,62.45
Williamson County,TX,48491,7686,643026,11.95,137771,55.79
Unidentified Counties,TX,48999,56772,4782521,11.87,858847,66.1
Cache County,UT,49005,2098,137417,15.27,34005,61.7
Davis County,UT,49011,4961,367285,13.51,78409,63.27
Salt Lake County,UT,49035,15179,1186421,12.79,263294,57.65
Utah County,UT,49049,12135,684986,17.72,166007,73.1
Washington County,UT,49053,2313,191226,12.1,35095,65.91
Weber County,UT,49057,3513,267066,13.15,57027,61.6
Unidentified Counties,UT,49999,6513,503574,12.93,100171,65.02
Chittenden County,VT,50007,1459,168865,8.64,38529,37.87
Unidentified Counties,VT,50999,3925,476705,8.23,81451,48.19
Arlington County,VA,51013,2454,232965,10.53,57493,42.68
Chesterfield County,VA,51041,4137,370688,11.16,73796,56.06
Fairfax County,VA,51059,12475,1139720,10.95,224529,55.56
Henrico County,VA,51087,3691,333554,11.07,67322,54.83
Loudoun County,VA,51107,4972,427592,11.63,87615,56.75
Prince William County,VA,51153,6247,484472,12.89,99110,63.03
Spotsylvania County,VA,51177,1593,143676,11.09,27611,57.69
Stafford County,VA,51179,1791,160877,11.13,32441,55.21
Alexandria city,VA,51510,2187,154706,14.14,37164,58.85
Chesapeake city,VA,51550,2986,251269,11.88,50996,58.55
Hampton city,VA,51650,1655,137746,12.01,29514,56.08
Newport News city,VA,51700,2520,184587,13.65,40920,61.58
Norfolk city,VA,51710,3114,235089,13.25,52553,59.25
Richmond city,VA,51760,2979,226604,13.15,58052,51.32
Virginia Beach city,VA,51810,5384,457672,11.76,94702,56.85
Unidentified Counties,VA,51999,37640,3701057,10.17,675439,55.73
Benton County,WA,53005,2552,210025,12.15,40910,62.38
Clark County,WA,53011,5627,511404,11,100056,56.24
Cowlitz County,WA,53015,1202,111524,10.78,19907,60.38
King County,WA,53033,23428,2252305,10.4,488854,47.92
Kitsap County,WA,53035,2736,274314,9.97,49657,55.1
Pierce County,WA,53053,11096,925708,11.99,188959,58.72
Skagit County,WA,53057,1398,130696,10.7,23023,60.72
Snohomish County,WA,53061,9783,833540,11.74,166347,58.81
Spokane County,WA,53063,5864,546040,10.74,109394,53.6
Thurston County,WA,53067,3130,297977,10.5,59026,53.03
Whatcom County,WA,53073,2036,228831,8.9,48856,41.67
Yakima County,WA,53077,3395,256035,13.26,50602,67.09
Unidentified Counties,WA,53999,11664,1160293,10.05,203144,57.42
Berkeley County,WV,54003,1482,126069,11.76,24471,60.56
Kanawha County,WV,54039,1747,177952,9.82,31640,55.21
Unidentified Counties,WV,54999,13969,1478938,9.45,258056,54.13
Brown County,WI,55009,3060,269591,11.35,52553,58.23
Dane County,WI,55025,5695,563951,10.1,127570,44.64
Fond du Lac County,WI,55039,1038,104362,9.95,19080,54.4
Kenosha County,WI,55059,1744,168732,10.34,33029,52.8
La Crosse County,WI,55063,1150,120433,9.55,26604,43.23
Marathon County,WI,55073,1419,137648,10.31,24115,58.84
Milwaukee County,WI,55079,11990,928059,12.92,201863,59.4
Outagamie County,WI,55087,2184,191545,11.4,36407,59.99
Racine County,WI,55101,2227,196896,11.31,35258,63.16
Rock County,WI,55105,1774,164381,10.79,30507,58.15
Sheboygan County,WI,55117,1128,117747,9.58,20190,55.87
Walworth County,WI,55127,916,106799,8.58,19884,46.07
Washington County,WI,55131,1292,137175,9.42,23076,55.99
Waukesha County,WI,55133,3914,408756,9.58,70860,55.24
Winnebago County,WI,55139,1755,171623,10.23,33570,52.28
Unidentified Counties,WI,55999,20495,2108210,9.72,353775,57.93
Unidentified Counties,WY,56999,6237,578803,10.78,108480,57.49
